,STOP_ID,STOP_FRISK_DATE,STOP_FRISK_TIME,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,RECORD_STATUS_CODE,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,DEMEANOR_CODE,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,SUSPECT_OTHER_DESCRIPTION,STOP_LOCATION_PRECINCT,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_STREET_NAME,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME,IMMEDIATE_STOP_FLAG,STOP_FRISK_TIME_HOUR,KMEANS_DEMEANOR,TIME_NUM,SUSPECT_REPORTED_AGE_CUT
4538,7051,2020-09-16,16:10:00,2020,September,Wednesday,Based on Radio Run,APP,POM,113,SGT,113,CPW,10,Y,Y,N,not arrested,N,Y,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,CM,empty,25,FEMALE,WHITE,5.1,160,MED,BROWN,BLK,empty,113,122-21 MERRICK BLVD,MERRICK BLVD,1048351,188392,11434,PBQS,QUEENS,Y,16,0,16.166666666666668,"[20, 30)"
4539,2288,2020-03-04,00:54:00,2020,March,Wednesday,Based on Radio Run,APP,POM,52,SGT,52,CPW,4,Y,N,N,not arrested,N,N,N,N,V,Y,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,CM,INOTXICATED,50,MALE,BLACK,5.9,265,HEA,BROWN,BLD,empty,52,W KINGSBRIDGE RD && BAILEY AVE,W KINGSBRIDGE RD,1010326,257400,10463,PBBX,BRONX,Y,0,0,0.9,"[50, 60)"
4540,8552,2020-11-23,01:20:00,2020,November,Monday,Based on C/W on Scene,APP,POM,20,SGT,20,ROBBERY,15,Y,Y,N,not arrested,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,CM,NERVOUS,16,MALE,WHITE,5.8,130,THN,BROWN,BLK,empty,20,W 71 ST && W END AVE,W 71 ST,988411,223133,10023,PBMN,MANHATTAN,N,1,2,1.3333333333333333,"[10, 20)"
4541,3539,2020-03-28,01:18:00,2020,March,Saturday,Based on Radio Run,APP,POM,20,LT,20,ROBBERY,5,Y,N,Y,ASSAULT,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,SA,COMPLIANT,57,MALE,BLACK,5.8,230,MED,BLACK,BLK,empty,20,W 77 ST && CENTRAL PARK W,W 77 ST,991569,223263,10024,PBMN,MANHATTAN,Y,1,6,1.3,"[50, 60)"
4542,5394,2020-06-07,16:59:00,2020,June,Sunday,Based on Radio Run,APP,SGT,46,SGT,46,PETIT LARCENY,1,Y,Y,N,not arrested,N,Y,N,N,N,N,N,N,empty,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,CM,CALM,40,MALE,BLACK,5.1,180,MED,BROWN,BLK,NONE,46,BURNSIDE AVENUE && GRAND CONCOURSE,BURNSIDE AVENUE,1011880,250411,unknown,PBBX,BRONX,Y,16,1,16.983333333333334,"[40, 50)"
4543,8823,2020-12-03,01:26:00,2020,December,Thursday,Based on Radio Run,APP,POM,40,SGT,40,PETIT LARCENY,41,Y,Y,N,not arrested,N,Y,N,N,N,N,N,N,empty,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,CM,CALM,33,MALE,BLACK,6.0,180,THN,unknown,BLK,RED JACKET,40,626 BERGEN AVE,BERGEN AVE,1007899,237033,10455,PBBX,BRONX,Y,1,1,1.4333333333333333,"[30, 40)"
4544,446,2020-01-16,11:10:00,2020,January,Thursday,Based on Radio Run,APP,POF,122,SGT,122,ASSAULT,15,Y,N,N,not arrested,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,SA,COMBATIVE,16,MALE,WHITE,5.7,140,THN,BROWN,BLK,NONE,122,366 NEW DORP LN,NEW DORP LN,953585,147205,10306,PBSI,STATEN ISLAND,Y,11,0,11.166666666666666,"[10, 20)"
4545,2453,2020-03-12,19:14:00,2020,March,Thursday,Based on Self Initiated,APP,POM,24,SGT,24,CRIMINAL POSSESSION OF CONTROLLED SUBSTANCE,2,Y,Y,N,not arrested,N,Y,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,CM,CALM,56,MALE,BLACK,5.8,180,MED,BROWN,OTHER,empty,24,230 W 99 ST,W 99 ST,992541,229411,10025,PBMN,MANHATTAN,N,19,1,19.233333333333334,"[50, 60)"
4546,5071,2020-05-16,17:10:00,2020,May,Saturday,Based on Radio Run,APP,POM,110,SGT,110,UNAUTHORIZED USE OF A VEHICLE,41,Y,N,N,not arrested,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,CM,NORMAL/ COMPLIANT,28,MALE,OTHER,5.7,150,MED,BROWN,BLK,BEARD,112,QUEENS BLVD && ELIOT AVE,QUEENS BLVD,1020819,206204,11374,PBQN,QUEENS,Y,17,6,17.166666666666668,"[20, 30)"
4547,8887,2020-12-06,07:02:00,2020,December,Sunday,Based on Radio Run,APP,POM,67,SGT,67,RAPE,1,N,N,Y,RAPE,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,Y,N,N,SA,COOPERATIVE,16,MALE,BLACK,5.9,150,THN,BROWN,BLK,empty,67,41 E 56 ST,E 56 ST,1005113,178391,11203,PBBS,BROOKLYN,Y,7,5,7.033333333333333,"[10, 20)"
