,STOP_WAS_INITIATED,STOP_DURATION_MINUTES,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,FRISKED_FLAG,SEARCHED_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_BORO_NAME,IMMEDIATE_STOP_FLAG,STOP_FRISK_TIME_HOUR,KMEANS_DEMEANOR
1492,Based on Radio Run,5,Y,ROBBERY,Y,N,Y,29,MALE,BLACK,5.8,180,MED,BROWN,BLK,MANHATTAN,Y,13,1
1493,Based on Self Initiated,1,Y,CPW,Y,Y,N,20,MALE,BLACK,5.8,130,THN,BROWN,BLK,QUEENS,Y,1,2
1494,Based on Radio Run,5,N,not arrested,Y,N,Y,34,MALE,BLACK,5.1,180,THN,BROWN,BLK,QUEENS,Y,17,5
1495,Based on Radio Run,4,Y,PETIT LARCENY,N,Y,N,29,FEMALE,BLACK,5.3,180,HEA,BROWN,OTHER,BROOKLYN,Y,19,4
1496,Based on Radio Run,1,Y,MENACING,Y,Y,Y,28,MALE,BLACK,6.1,240,HEA,BROWN,BLK,BROOKLYN,Y,2,1
1497,Based on Radio Run,9,Y,ASSAULT,Y,Y,Y,25,MALE,BLACK,5.8,175,THN,unknown,BLK,BRONX,Y,4,2
1498,Based on C/W on Scene,3,Y,ROBBERY,Y,Y,Y,19,MALE,BLACK,5.8,130,MED,BROWN,BLK,BRONX,Y,16,1
1499,Based on Radio Run,35,N,not arrested,N,N,N,19,FEMALE,BLACK,5.4,160,THN,BROWN,BLK,BROOKLYN,Y,11,1
1500,Based on C/W on Scene,19,N,not arrested,Y,N,Y,18,FEMALE,WHITE,5.2,110,THN,BROWN,OTHER,BRONX,Y,12,7
1501,Based on Self Initiated,10,Y,CPW,N,N,N,20,MALE,BLACK,5.8,160,MED,BROWN,BLK,BROOKLYN,Y,21,0
1502,Based on Radio Run,10,Y,GRAND LARCENY,N,Y,N,53,FEMALE,BLACK,5.3,135,MED,BROWN,BLK,BROOKLYN,Y,16,7
1503,Based on C/W on Scene,5,N,not arrested,N,N,N,17,MALE,BLACK,6.0,175,UNKNOWN,BROWN,BLK,BRONX,N,18,0
1504,Based on Radio Run,5,N,not arrested,Y,N,Y,25,MALE,BLACK,5.1,170,THN,BROWN,BLK,QUEENS,Y,17,0
1505,Based on Radio Run,28,Y,UNAUTHORIZED USE OF A VEHICLE,N,Y,N,35,MALE,WHITE,5.7,150,THN,BROWN,BLK,QUEENS,Y,3,0
1506,Based on Self Initiated,10,Y,CRIMINAL POSSESSION OF CONTROLLED SUBSTANCE,Y,Y,N,34,MALE,WHITE,5.1,200,MED,BROWN,BLK,BRONX,Y,17,1
1507,Based on Radio Run,10,Y,ROBBERY,Y,Y,Y,27,MALE,BLACK,5.11,180,UNKNOWN,BROWN,BLK,BRONX,N,8,3
1508,Based on Radio Run,23,N,not arrested,N,N,N,16,MALE,BLACK,6.0,150,MED,BROWN,BLK,QUEENS,Y,15,1
1509,Based on Self Initiated,8,N,not arrested,N,N,N,39,MALE,WHITE,5.9,130,MED,BROWN,BRO,MANHATTAN,N,13,0
1510,Based on Radio Run,1,N,not arrested,Y,N,N,43,MALE,BLACK,5.5,140,THN,BLACK,BLK,BRONX,Y,10,0
1511,Based on Self Initiated,1,N,not arrested,Y,Y,N,33,MALE,BLACK,6.0,220,HEA,BROWN,BLK,BRONX,Y,13,2
1512,Based on Radio Run,8,N,not arrested,Y,N,Y,18,MALE,BLACK,5.9,160,MED,BROWN,BLK,QUEENS,Y,16,0
1513,Based on Radio Run,38,Y,ROBBERY,N,Y,N,15,MALE,BLACK,5.8,140,THN,BLACK,BLK,MANHATTAN,N,23,6
1514,Based on Radio Run,25,N,not arrested,N,N,N,18,MALE,BLACK,5.8,160,MED,BROWN,BRO,BROOKLYN,Y,23,4
1516,Based on Radio Run,2,N,not arrested,Y,Y,Y,39,MALE,BLACK,5.8,200,MED,BLACK,BLK,MANHATTAN,Y,21,9
1517,Based on Radio Run,10,N,not arrested,Y,N,N,49,MALE,WHITE,5.7,160,THN,OTHER,GRY,MANHATTAN,Y,14,2
1518,Based on Self Initiated,6,Y,OTHER,N,Y,N,40,MALE,BLACK,5.1,170,THN,BROWN,BRO,BRONX,Y,16,4
1519,Based on Radio Run,7,Y,CRIMINAL TRESPASS,N,Y,N,56,MALE,WHITE,6.2,190,MED,OTHER,GRY,MANHATTAN,Y,21,7
1520,Based on Radio Run,7,Y,FORCIBLE TOUCHING,Y,Y,N,23,MALE,BLACK,5.8,160,THN,BROWN,BRO,BROOKLYN,N,12,0
1521,Based on Self Initiated,10,N,not arrested,N,N,N,37,MALE,BLACK,5.11,200,MED,BROWN,BLK,MANHATTAN,Y,7,0
1522,Based on Radio Run,2,N,not arrested,Y,Y,N,21,MALE,WHITE,6.2,180,THN,BROWN,BLK,BRONX,Y,12,1
1523,Based on C/W on Scene,20,N,not arrested,Y,N,Y,32,MALE,WHITE,5.5,150,MED,BROWN,BLK,BROOKLYN,Y,2,1
1524,Based on Self Initiated,4,Y,CRIMINAL MISCHIEF,N,Y,N,55,MALE,BLACK,5.11,165,MED,OTHER,BLK,BROOKLYN,N,22,1
1525,Based on Radio Run,3,N,not arrested,Y,Y,Y,43,MALE,BLACK,5.2,160,MED,BROWN,BLK,BROOKLYN,Y,8,9
1526,Based on Radio Run,10,Y,ASSAULT,Y,Y,Y,27,MALE,WHITE,5.7,160,MED,BROWN,BLK,MANHATTAN,Y,19,0
1527,Based on Radio Run,3,N,not arrested,N,N,N,18,MALE,BLACK,6.0,185,MED,BROWN,BLK,MANHATTAN,N,16,0
1528,Based on Radio Run,40,Y,OTHER,Y,Y,Y,19,MALE,BLACK,5.8,160,THN,BLACK,BLK,BROOKLYN,Y,0,6
1529,Based on Radio Run,5,N,not arrested,N,N,N,54,MALE,BLACK,6.1,167,THN,BROWN,BLK,BROOKLYN,Y,10,0
1530,Based on Radio Run,15,N,not arrested,Y,N,N,22,MALE,BLACK,5.5,170,UNKNOWN,BROWN,BLK,MANHATTAN,Y,9,1
