,STOP_WAS_INITIATED,STOP_DURATION_MINUTES,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,FRISKED_FLAG,SEARCHED_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_BORO_NAME,IMMEDIATE_STOP_FLAG,STOP_FRISK_TIME_HOUR,KMEANS_DEMEANOR
0,Based on Self Initiated,5,N,not arrested,Y,N,Y,21,MALE,BLACK,6.0,170,THN,BROWN,BLK,BRONX,N,22,0
1,Based on Radio Run,8,N,not arrested,Y,Y,Y,44,MALE,BLACK,5.9,215,HEA,BROWN,BLK,MANHATTAN,Y,8,0
2,Based on C/W on Scene,11,Y,PETIT LARCENY,Y,Y,N,31,MALE,WHITE,5.8,180,MED,OTHER,BRO,QUEENS,Y,11,1
3,Based on Radio Run,5,N,not arrested,Y,Y,Y,19,MALE,WHITE,5.7,150,THN,BROWN,BRO,STATEN ISLAND,Y,9,0
4,Based on Self Initiated,10,Y,OTHER,N,Y,N,24,MALE,BLACK,5.8,190,THN,BLACK,BLK,BROOKLYN,Y,2,0
5,Based on Radio Run,10,N,not arrested,N,N,N,19,MALE,BLACK,5.6,130,MED,BROWN,BLK,BROOKLYN,Y,0,2
6,Based on Self Initiated,1,Y,CPW,Y,Y,N,23,MALE,BLACK,5.8,150,MED,BROWN,BLK,BRONX,Y,19,0
7,Based on Self Initiated,14,Y,CPSP,N,Y,N,57,MALE,BLACK,5.8,210,MED,BROWN,BLK,BROOKLYN,Y,13,2
8,Based on Radio Run,7,N,not arrested,Y,N,Y,22,MALE,BLACK,5.533333333333334,153,THN,BLACK,BLK,QUEENS,Y,1,0
9,Based on Radio Run,10,N,not arrested,N,N,N,29,MALE,BLACK,5.1,180,MED,BROWN,BLK,BROOKLYN,Y,15,1
10,Based on Radio Run,5,N,not arrested,N,N,N,32,MALE,BLACK,5.1,190,MED,BLACK,BLK,MANHATTAN,Y,21,3
11,Based on Self Initiated,2,Y,CRIMINAL MISCHIEF,Y,Y,N,43,MALE,BLACK,5.8,146,THN,BROWN,BLD,MANHATTAN,Y,10,7
12,Based on Radio Run,25,Y,MAKING GRAFFITI,N,Y,N,25,MALE,WHITE,5.9,200,MED,BROWN,BRO,QUEENS,N,15,5
13,Based on Radio Run,15,N,not arrested,Y,N,Y,18,FEMALE,BLACK,5.4,165,MED,BROWN,BLK,BROOKLYN,Y,15,2
14,Based on Radio Run,3,Y,CPW,Y,Y,Y,44,MALE,BLACK,5.1,165,THN,BROWN,BLK,QUEENS,Y,18,2
15,Based on Radio Run,20,Y,GRAND LARCENY,N,Y,N,17,MALE,BLACK,5.8,130,THN,BROWN,BLK,MANHATTAN,Y,13,3
16,Based on Radio Run,27,Y,ASSAULT,N,Y,Y,21,MALE,OTHER,5.4,120,THN,BROWN,BLK,MANHATTAN,Y,5,1
17,Based on Radio Run,24,Y,ROBBERY,Y,N,Y,25,MALE,WHITE,5.2,140,THN,BROWN,BLK,QUEENS,Y,20,9
18,Based on Radio Run,10,Y,OTHER,N,Y,N,22,MALE,WHITE,5.7,170,MED,BROWN,BRO,BRONX,N,18,4
19,Based on Radio Run,2,Y,CPW,N,Y,N,26,MALE,BLACK,5.11,150,THN,BROWN,BLK,BROOKLYN,N,22,4
20,Based on Radio Run,15,N,not arrested,Y,N,Y,21,MALE,BLACK,5.9,170,THN,BROWN,BLK,BRONX,Y,4,2
21,Based on Radio Run,5,N,not arrested,Y,N,Y,52,MALE,BLACK,5.6,150,HEA,BROWN,BLD,BROOKLYN,Y,22,8
22,Based on Radio Run,3,N,not arrested,Y,N,Y,20,MALE,WHITE,5.1,160,MED,BROWN,BLK,BROOKLYN,Y,17,3
23,Based on C/W on Scene,41,N,not arrested,N,N,N,44,MALE,WHITE,5.5,150,MED,BROWN,BRO,BROOKLYN,Y,13,1
24,Based on C/W on Scene,41,N,not arrested,N,N,N,22,MALE,BLACK,6.2,200,THN,BROWN,BLK,BROOKLYN,Y,12,4
25,Based on Radio Run,9,Y,ROBBERY,Y,Y,Y,39,MALE,WHITE,5.7,177,MED,BROWN,BLK,MANHATTAN,N,13,1
26,Based on Radio Run,15,N,not arrested,Y,N,Y,34,MALE,BLACK,5.11,160,THN,BROWN,BLK,BROOKLYN,N,14,1
27,Based on Radio Run,15,Y,CPW,Y,Y,Y,13,MALE,BLACK,5.5,180,HEA,BROWN,BLK,QUEENS,Y,19,1
28,Based on Self Initiated,6,Y,OTHER,N,Y,N,28,MALE,BLACK,6.0,200,MED,BROWN,BLK,MANHATTAN,Y,17,0
29,Based on Radio Run,10,N,not arrested,N,N,Y,50,MALE,BLACK,5.9,170,MED,BROWN,BLK,MANHATTAN,Y,7,0
30,Based on Radio Run,1,Y,CPW,N,Y,N,20,MALE,WHITE,5.8,150,THN,BROWN,BLK,BROOKLYN,Y,14,0
31,Based on C/W on Scene,5,N,not arrested,Y,N,Y,21,MALE,BLACK,5.8,130,THN,BROWN,BLK,BROOKLYN,Y,18,8
32,Based on C/W on Scene,35,N,not arrested,N,N,N,19,MALE,BLACK,6.0,160,MED,BROWN,BLK,BROOKLYN,N,4,1
33,Based on Radio Run,11,Y,ROBBERY,N,N,N,17,MALE,WHITE,5.9,160,THN,BROWN,BRO,MANHATTAN,Y,13,1
34,Based on Self Initiated,13,N,not arrested,N,N,N,42,MALE,WHITE,5.7,180,THN,BROWN,OTHER,BROOKLYN,N,19,0
35,Based on Radio Run,8,N,not arrested,N,N,N,37,MALE,WHITE,5.1,160,MED,BROWN,BRO,QUEENS,Y,17,0
36,Based on Radio Run,10,N,not arrested,Y,N,Y,30,MALE,WHITE,5.6,140,THN,BROWN,BLK,BRONX,Y,4,10
37,Based on Self Initiated,5,Y,CRIMINAL TRESPASS,N,N,N,41,MALE,WHITE,5.1,200,MED,BROWN,GRY,MANHATTAN,Y,18,2
38,Based on Radio Run,10,N,not arrested,Y,N,Y,21,MALE,BLACK,5.8,160,THN,BROWN,BLK,BRONX,Y,17,5
39,Based on Self Initiated,10,Y,CRIMINAL TRESPASS,N,Y,N,27,MALE,WHITE,6.0,140,MED,OTHER,BRO,MANHATTAN,Y,14,1
40,Based on Radio Run,41,N,not arrested,Y,N,Y,35,MALE,BLACK,5.7,190,THN,BROWN,BLK,QUEENS,Y,19,1
41,Based on Radio Run,5,N,not arrested,Y,N,Y,26,MALE,BLACK,5.11,260,HEA,BROWN,BLK,BROOKLYN,Y,15,0
42,Based on Self Initiated,20,N,not arrested,Y,Y,N,16,MALE,BLACK,5.9,160,MED,BROWN,BLK,QUEENS,Y,22,0
43,Based on Radio Run,3,N,not arrested,Y,N,N,17,MALE,BLACK,5.1,150,THN,BROWN,BLK,BRONX,N,1,4
44,Based on Radio Run,6,Y,BURGLARY,Y,Y,Y,39,MALE,WHITE,6.2,200,THN,BROWN,BLD,MANHATTAN,Y,5,0
45,Based on Radio Run,18,Y,BURGLARY,Y,N,Y,32,MALE,BLACK,5.6,180,UNKNOWN,BROWN,BLK,BROOKLYN,Y,6,0
46,Based on Radio Run,12,N,not arrested,Y,Y,N,18,MALE,WHITE,5.9,150,THN,BLACK,BLK,QUEENS,Y,1,4
47,Based on Radio Run,10,N,not arrested,Y,N,N,36,MALE,WHITE,5.633333333333333,197,HEA,BROWN,BRO,BROOKLYN,Y,16,0
48,Based on C/W on Scene,5,N,not arrested,Y,N,Y,20,MALE,WHITE,5.8,170,MED,BROWN,BLK,QUEENS,N,11,1
49,Based on Radio Run,16,Y,ROBBERY,N,N,N,19,MALE,WHITE,5.7,150,THN,BROWN,BLK,BROOKLYN,Y,17,1
50,Based on Radio Run,10,N,not arrested,Y,Y,N,32,MALE,BLACK,5.5,180,MED,BROWN,BLK,MANHATTAN,Y,22,1
51,Based on Radio Run,20,N,not arrested,N,N,N,18,MALE,BLACK,5.1,175,MED,BLACK,BLK,BRONX,N,18,1
52,Based on Radio Run,5,Y,UNAUTHORIZED USE OF A VEHICLE,Y,Y,Y,19,MALE,OTHER,5.6,95,THN,BROWN,BLK,QUEENS,Y,6,3
53,Based on Radio Run,5,N,not arrested,Y,N,Y,21,MALE,WHITE,5.7,120,THN,BROWN,BLK,BROOKLYN,Y,2,0
54,Based on Radio Run,18,Y,CRIMINAL POSSESSION OF CONTROLLED SUBSTANCE,N,Y,N,22,MALE,BLACK,5.766666666666667,187,MED,BROWN,BLK,BRONX,Y,16,0
55,Based on Radio Run,8,Y,PETIT LARCENY,N,N,N,54,MALE,BLACK,5.7,165,THN,BROWN,BLK,MANHATTAN,Y,20,0
56,Based on Radio Run,4,Y,ASSAULT,Y,Y,Y,17,MALE,BLACK,6.1,160,THN,BLACK,BLK,BRONX,Y,5,9
57,Based on Self Initiated,2,N,not arrested,Y,N,N,33,MALE,WHITE,5.8,170,MED,BROWN,BRO,BROOKLYN,Y,12,1
58,Based on Radio Run,13,N,not arrested,Y,Y,N,22,MALE,BLACK,5.6,210,HEA,BROWN,BLK,BRONX,Y,2,2
59,Based on Self Initiated,5,N,not arrested,N,N,N,17,MALE,BLACK,5.8,150,THN,BROWN,BLK,BRONX,Y,16,3
60,Based on Radio Run,10,Y,GRAND LARCENY,N,N,N,27,MALE,WHITE,5.9,180,MED,BROWN,BLK,BRONX,N,14,1
61,Based on Radio Run,0,Y,CPW,N,Y,N,15,MALE,WHITE,5.9,150,MED,BROWN,BLK,BRONX,Y,22,0
62,Based on Radio Run,20,Y,OTHER,Y,Y,N,19,MALE,BLACK,5.7,190,MED,BROWN,BLK,STATEN ISLAND,N,2,6
63,Based on Radio Run,12,N,not arrested,Y,N,Y,24,MALE,BLACK,5.11,180,THN,BROWN,BLK,QUEENS,Y,23,1
64,Based on Radio Run,18,Y,AUTO STRIPPIG,N,N,N,31,MALE,OTHER,5.8,150,THN,BROWN,BLK,BROOKLYN,Y,5,6
65,Based on Radio Run,10,Y,MENACING,Y,Y,Y,47,MALE,BLACK,6.0,200,MED,BROWN,BLK,BROOKLYN,Y,22,0
66,Based on Self Initiated,1,Y,CPW,Y,Y,N,17,MALE,BLACK,5.1,180,MED,BROWN,BLK,BROOKLYN,Y,1,1
67,Based on C/W on Scene,5,N,not arrested,N,N,N,53,MALE,WHITE,5.9,180,MED,BROWN,BRO,MANHATTAN,N,11,0
68,Based on Radio Run,20,N,not arrested,N,N,N,52,MALE,WHITE,6.1,250,HEA,BROWN,BLD,BROOKLYN,Y,20,1
69,Based on Radio Run,5,N,not arrested,Y,N,N,19,MALE,BLACK,6.2,180,UNKNOWN,unknown,BLK,MANHATTAN,Y,1,0
70,Based on Radio Run,14,Y,ASSAULT,N,Y,N,60,MALE,BLACK,5.8,130,MED,BROWN,BLK,MANHATTAN,N,19,7
71,Based on Radio Run,6,Y,PETIT LARCENY,Y,Y,Y,15,MALE,BLACK,5.9,120,THN,BROWN,BLK,QUEENS,Y,17,1
72,Based on Self Initiated,1,N,not arrested,Y,Y,N,20,FEMALE,BLACK,5.8,200,HEA,BROWN,BLK,BROOKLYN,Y,0,5
73,Based on Radio Run,6,N,not arrested,N,N,N,14,MALE,WHITE,5.8,140,THN,OTHER,BLK,QUEENS,Y,16,2
74,Based on Radio Run,2,N,not arrested,N,N,N,20,MALE,WHITE,5.9,165,THN,BROWN,BLK,BROOKLYN,Y,3,8
75,Based on C/W on Scene,5,N,not arrested,N,N,N,28,FEMALE,WHITE,4.5,100,THN,unknown,OTHER,BROOKLYN,N,13,4
76,Based on Radio Run,12,Y,PETIT LARCENY,N,Y,N,41,MALE,BLACK,5.6,150,THN,BROWN,BLK,BRONX,Y,12,1
77,Based on C/W on Scene,10,Y,CRIMINAL MISCHIEF,Y,Y,N,19,MALE,BLACK,5.1,160,THN,BROWN,BLK,MANHATTAN,Y,3,4
78,Based on Radio Run,10,Y,PETIT LARCENY,Y,Y,Y,31,FEMALE,BLACK,5.1,100,THN,unknown,BLK,MANHATTAN,N,16,1
79,Based on Radio Run,10,N,not arrested,Y,N,N,33,MALE,BLACK,6.2,200,THN,BROWN,BLK,BROOKLYN,Y,12,5
80,Based on Self Initiated,10,N,not arrested,N,N,N,41,MALE,BLACK,5.3,140,MED,BROWN,BLK,BRONX,N,4,1
81,Based on Radio Run,5,Y,PETIT LARCENY,N,Y,N,12,MALE,BLACK,4.11,110,THN,BROWN,BLK,STATEN ISLAND,Y,23,2
82,Based on C/W on Scene,35,N,not arrested,N,N,N,26,MALE,BLACK,6.2,170,MED,BROWN,BLK,BROOKLYN,N,4,1
83,Based on Self Initiated,1,Y,CPW,Y,N,N,18,MALE,BLACK,5.11,160,MED,BROWN,BLK,BROOKLYN,Y,0,0
84,Based on Radio Run,41,N,not arrested,N,N,N,17,FEMALE,BLACK,5.7,120,MED,BROWN,BLK,QUEENS,Y,1,2
85,Based on Radio Run,3,Y,PETIT LARCENY,Y,Y,N,30,MALE,WHITE,5.9,170,MED,BROWN,BLD,QUEENS,Y,14,1
86,Based on Radio Run,20,N,not arrested,N,N,N,32,MALE,BLACK,5.1,220,MED,BROWN,BLK,STATEN ISLAND,N,8,8
87,Based on Self Initiated,9,Y,CPW,Y,Y,N,17,MALE,BLACK,6.0,150,THN,BROWN,BLK,BROOKLYN,N,16,2
88,Based on Radio Run,33,Y,RECKLESS ENDANGERMENT,Y,Y,N,22,MALE,BLACK,5.11,180,MED,BLACK,BLK,MANHATTAN,N,21,2
89,Based on Radio Run,4,Y,PETIT LARCENY,N,Y,N,54,MALE,WHITE,5.1,190,MED,BROWN,BLD,QUEENS,Y,21,3
90,Based on C/W on Scene,10,N,not arrested,N,N,N,40,MALE,WHITE,5.1,170,MED,unknown,OTHER,MANHATTAN,Y,10,1
91,Based on Radio Run,5,N,not arrested,N,N,N,27,MALE,WHITE,5.11,160,MED,BROWN,BLK,QUEENS,Y,10,6
92,Based on Radio Run,20,Y,CPW,Y,Y,Y,27,MALE,WHITE,5.8,150,THN,BROWN,BLK,BROOKLYN,Y,15,0
93,Based on Radio Run,15,Y,ROBBERY,N,N,N,53,MALE,BLACK,6.3,250,MED,BROWN,BLK,BRONX,Y,19,1
94,Based on Radio Run,5,N,not arrested,Y,N,N,26,FEMALE,BLACK,5.9,150,THN,unknown,BRO,QUEENS,Y,12,9
95,Based on C/W on Scene,2,N,not arrested,Y,N,N,23,MALE,BLACK,5.11,220,HEA,BLACK,BLK,MANHATTAN,N,17,1
96,Based on Self Initiated,3,N,not arrested,N,N,N,51,MALE,BLACK,5.1,180,MED,BROWN,BLK,BROOKLYN,Y,5,1
97,Based on C/W on Scene,8,Y,GRAND LARCENY,Y,Y,N,17,MALE,BLACK,5.6,120,THN,BROWN,BLK,QUEENS,Y,22,2
98,Based on Radio Run,4,Y,CPSP,Y,Y,Y,23,MALE,BLACK,6.0,150,THN,BROWN,BLK,BRONX,Y,19,2
99,Based on Radio Run,16,N,not arrested,N,N,N,18,MALE,BLACK,6.0,170,THN,BROWN,BLK,BRONX,N,16,1
100,Based on Radio Run,2,N,not arrested,Y,N,Y,17,MALE,BLACK,6.0,150,THN,BROWN,BLK,BRONX,Y,0,2
101,Based on C/W on Scene,1,N,not arrested,Y,N,Y,33,MALE,BLACK,5.1033333333333335,175,MED,unknown,OTHER,BROOKLYN,Y,17,1
102,Based on C/W on Scene,12,N,not arrested,Y,N,N,29,MALE,BLACK,5.8,150,UNKNOWN,BLACK,BLK,QUEENS,Y,3,0
103,Based on C/W on Scene,1,N,not arrested,Y,Y,Y,51,MALE,BLACK,6.1,200,MED,BLACK,BLK,BROOKLYN,Y,19,1
104,Based on Self Initiated,13,N,not arrested,N,N,N,61,MALE,BLACK,6.0,200,THN,BROWN,BLK,MANHATTAN,Y,19,0
105,Based on Radio Run,5,N,not arrested,Y,Y,Y,20,MALE,BLACK,5.8,150,UNKNOWN,BROWN,BLK,MANHATTAN,N,16,6
106,Based on Radio Run,8,N,not arrested,Y,Y,Y,41,FEMALE,BLACK,5.7,160,MED,BROWN,BLK,BROOKLYN,Y,22,4
107,Based on Radio Run,1,N,not arrested,Y,N,Y,35,MALE,OTHER,5.8,180,MED,unknown,BLK,BROOKLYN,Y,21,3
108,Based on C/W on Scene,5,Y,ROBBERY,Y,Y,Y,15,MALE,BLACK,5.5,150,THN,BROWN,BLK,QUEENS,Y,21,0
109,Based on Self Initiated,25,N,not arrested,Y,N,N,19,MALE,WHITE,5.6,160,MED,BROWN,BLK,BROOKLYN,Y,21,1
110,Based on Radio Run,17,Y,ROBBERY,Y,N,Y,14,FEMALE,BLACK,5.2,150,HEA,BROWN,BLK,MANHATTAN,Y,15,0
111,Based on Radio Run,10,N,not arrested,Y,N,N,28,FEMALE,BLACK,5.4,150,MED,BROWN,BLK,BROOKLYN,Y,1,1
112,Based on Radio Run,2,Y,RAPE,Y,N,Y,17,MALE,BLACK,5.8,180,UNKNOWN,BROWN,BLK,BROOKLYN,Y,6,1
113,Based on Self Initiated,10,Y,GRAND LARCENY,Y,Y,N,19,MALE,WHITE,5.9,180,MED,BROWN,BRO,QUEENS,Y,1,1
114,Based on Radio Run,12,Y,ROBBERY,Y,Y,Y,57,MALE,BLACK,5.1,180,MED,BROWN,BLD,BROOKLYN,Y,13,4
115,Based on Self Initiated,3,Y,OTHER,N,Y,N,49,MALE,BLACK,5.8,160,THN,BROWN,BLK,BROOKLYN,Y,5,1
116,Based on Radio Run,15,N,not arrested,Y,Y,N,30,MALE,WHITE,5.1,140,THN,BROWN,BRO,BROOKLYN,Y,3,1
117,Based on C/W on Scene,16,N,not arrested,Y,N,N,39,MALE,BLACK,5.9,220,MED,BROWN,OTHER,MANHATTAN,Y,16,1
118,Based on Radio Run,5,Y,ROBBERY,Y,Y,Y,21,MALE,BLACK,6.3,190,THN,BROWN,BLK,MANHATTAN,Y,18,1
119,Based on Self Initiated,3,N,not arrested,Y,N,N,20,MALE,BLACK,6.0,160,THN,BROWN,BLK,BROOKLYN,N,17,0
120,Based on Radio Run,15,N,not arrested,Y,Y,Y,34,FEMALE,BLACK,5.7,180,MED,BROWN,OTHER,BROOKLYN,Y,13,2
121,Based on Radio Run,20,N,not arrested,N,N,N,26,MALE,WHITE,5.8,160,MED,BROWN,BLK,MANHATTAN,Y,12,0
122,Based on Radio Run,8,N,not arrested,Y,N,N,55,MALE,BLACK,6.0,185,THN,BROWN,OTHER,MANHATTAN,Y,17,9
123,Based on Radio Run,10,N,not arrested,Y,Y,Y,44,MALE,BLACK,6.3,250,UNKNOWN,BROWN,BLK,BRONX,N,0,0
124,Based on Radio Run,10,Y,PETIT LARCENY,N,Y,N,37,MALE,BLACK,5.5,190,MED,BROWN,BLK,QUEENS,Y,1,4
125,Based on C/W on Scene,5,N,not arrested,N,N,N,25,MALE,WHITE,5.1,170,THN,OTHER,BLK,BROOKLYN,N,14,1
126,Based on Radio Run,7,N,not arrested,N,N,N,22,MALE,BLACK,6.0,180,THN,BROWN,BLK,BROOKLYN,Y,23,1
127,Based on Radio Run,1,Y,GRAND LARCENY,N,Y,N,40,MALE,BLACK,5.8,180,UNKNOWN,unknown,BLD,BRONX,Y,9,1
128,Based on Radio Run,5,N,not arrested,N,N,N,15,unknown,WHITE,5.8,145,THN,BROWN,BRO,QUEENS,N,14,2
129,Based on Self Initiated,1,Y,CPW,N,Y,N,20,MALE,WHITE,5.1,160,THN,BROWN,BLK,BRONX,Y,0,0
130,Based on Radio Run,5,Y,CPW,Y,Y,N,42,MALE,WHITE,5.8,180,HEA,BLACK,BLK,QUEENS,Y,12,1
131,Based on Radio Run,3,N,not arrested,Y,N,N,19,MALE,BLACK,5.6,135,THN,BROWN,BLK,BRONX,N,20,1
132,Based on Radio Run,5,Y,OTHER,Y,Y,N,33,MALE,BLACK,5.1,190,MED,BROWN,BLK,MANHATTAN,N,17,3
133,Based on Radio Run,5,Y,ROBBERY,Y,N,Y,30,MALE,WHITE,5.1,160,MED,BROWN,BLK,BROOKLYN,Y,14,0
134,Based on Self Initiated,3,N,not arrested,Y,N,N,19,MALE,BLACK,5.6,140,MED,BROWN,OTHER,BRONX,Y,18,2
135,Based on C/W on Scene,4,N,not arrested,Y,Y,Y,25,MALE,BLACK,6.0,160,UNKNOWN,BLACK,BLK,MANHATTAN,Y,20,0
136,Based on Radio Run,4,N,not arrested,Y,N,N,22,FEMALE,BLACK,5.5,160,MED,BROWN,BLK,BRONX,Y,21,1
137,Based on Radio Run,9,N,not arrested,Y,Y,N,32,MALE,BLACK,5.1,165,THN,BLACK,BLK,BRONX,Y,11,8
138,Based on C/W on Scene,25,N,not arrested,Y,N,Y,35,FEMALE,BLACK,5.6,150,MED,BROWN,BLK,MANHATTAN,Y,21,0
139,Based on Radio Run,30,N,not arrested,N,N,N,29,MALE,BLACK,5.1,188,MED,BROWN,BLK,BROOKLYN,Y,11,1
140,Based on C/W on Scene,10,N,not arrested,Y,Y,Y,55,MALE,BLACK,6.2,220,MED,BROWN,BRO,MANHATTAN,Y,19,1
141,Based on Radio Run,15,N,not arrested,N,N,N,53,FEMALE,BLACK,4.9,120,THN,BROWN,BLK,BROOKLYN,Y,9,3
142,Based on Radio Run,15,Y,BURGLARY,Y,Y,Y,52,MALE,BLACK,6.0,250,HEA,BROWN,BLK,QUEENS,Y,20,1
143,Based on Radio Run,7,N,not arrested,N,N,N,17,MALE,BLACK,4.11,100,THN,BROWN,BLK,BROOKLYN,Y,18,0
144,Based on Radio Run,25,N,not arrested,Y,N,N,31,MALE,WHITE,5.9,160,THN,BROWN,BRO,MANHATTAN,Y,1,9
145,Based on Radio Run,4,N,not arrested,Y,N,Y,21,MALE,WHITE,5.4,140,MED,BROWN,BRO,MANHATTAN,Y,18,1
146,Based on Radio Run,10,N,not arrested,N,Y,N,38,MALE,BLACK,5.9,170,MED,BROWN,BLK,BROOKLYN,Y,22,1
147,Based on Radio Run,10,Y,PETIT LARCENY,N,Y,N,26,MALE,BLACK,6.0,190,MED,BROWN,BLK,BROOKLYN,Y,17,1
148,Based on Radio Run,10,Y,PETIT LARCENY,N,Y,N,42,MALE,BLACK,5.1,160,MED,BLACK,BLK,MANHATTAN,N,12,1
149,Based on Radio Run,8,N,not arrested,Y,N,Y,21,MALE,WHITE,5.5,170,MED,BROWN,BLK,BRONX,N,15,2
150,Based on Radio Run,12,N,not arrested,N,N,N,43,MALE,BLACK,6.9,170,MED,BROWN,BLK,MANHATTAN,Y,22,1
151,Based on Radio Run,20,N,not arrested,N,N,N,15,MALE,WHITE,5.4,140,THN,unknown,OTHER,QUEENS,Y,16,1
152,Based on C/W on Scene,5,N,not arrested,N,N,N,35,MALE,WHITE,5.9,188,MED,unknown,OTHER,QUEENS,Y,19,0
153,Based on Radio Run,25,N,not arrested,N,N,N,35,MALE,BLACK,5.7,140,THN,BROWN,BLK,BROOKLYN,Y,16,0
154,Based on Self Initiated,7,Y,CPSP,N,Y,Y,35,MALE,WHITE,5.8,170,HEA,BLACK,BRO,MANHATTAN,Y,21,1
155,Based on Self Initiated,18,Y,UNAUTHORIZED USE OF A VEHICLE,N,Y,N,17,MALE,WHITE,6.0,150,UNKNOWN,BROWN,BRO,QUEENS,Y,1,1
156,Based on C/W on Scene,41,N,not arrested,N,N,N,37,MALE,BLACK,6.0,180,THN,BROWN,BLK,QUEENS,Y,4,0
157,Based on Radio Run,1,N,not arrested,Y,N,Y,18,MALE,BLACK,5.1,140,THN,BLACK,BLK,MANHATTAN,N,18,7
158,Based on Radio Run,8,Y,CPW,N,Y,N,49,MALE,BLACK,5.7,170,MED,BROWN,GRY,QUEENS,Y,1,9
159,Based on Radio Run,8,Y,PETIT LARCENY,N,Y,N,21,MALE,BLACK,6.1,160,THN,BROWN,BLK,MANHATTAN,N,23,10
160,Based on Radio Run,10,N,not arrested,Y,N,Y,26,MALE,WHITE,6.1,150,THN,BLACK,BLK,QUEENS,Y,1,1
161,Based on C/W on Scene,10,N,not arrested,Y,N,Y,33,MALE,BLACK,5.9,213,MED,BROWN,BLK,BRONX,N,18,4
162,Based on C/W on Scene,41,Y,CPW,Y,N,Y,21,MALE,BLACK,5.11,160,THN,BLACK,BLK,QUEENS,Y,12,1
163,Based on C/W on Scene,26,N,not arrested,N,N,N,39,MALE,BLACK,5.9,140,THN,BROWN,BLK,BROOKLYN,N,13,7
164,Based on Radio Run,10,N,not arrested,N,N,N,61,FEMALE,WHITE,5.2,145,HEA,unknown,GRY,MANHATTAN,N,18,4
165,Based on Radio Run,3,N,not arrested,Y,Y,Y,41,MALE,BLACK,5.8,180,MED,BROWN,BLK,BROOKLYN,Y,0,4
166,Based on Radio Run,3,Y,CRIMINAL MISCHIEF,Y,Y,Y,29,MALE,WHITE,6.0,170,THN,BROWN,BLK,MANHATTAN,Y,17,7
167,Based on Self Initiated,3,N,not arrested,Y,N,N,16,MALE,WHITE,5.6,120,THN,BROWN,BLK,QUEENS,Y,17,1
168,Based on Radio Run,9,Y,GRAND LARCENY,N,N,N,16,MALE,BLACK,5.1,180,MED,BROWN,BLK,BRONX,Y,2,0
169,Based on Self Initiated,10,N,not arrested,Y,N,N,13,MALE,BLACK,5.5,140,THN,BROWN,BLK,MANHATTAN,N,23,1
170,Based on Self Initiated,3,N,not arrested,N,N,N,17,MALE,BLACK,6.0,170,THN,BROWN,BLK,BRONX,Y,22,0
171,Based on Radio Run,20,Y,OTHER,Y,Y,N,39,MALE,BLACK,5.7,140,THN,BROWN,BLK,QUEENS,Y,17,7
172,Based on Radio Run,20,N,not arrested,N,N,N,36,MALE,BLACK,6.5,280,HEA,BROWN,BLK,BRONX,Y,14,5
173,Based on Self Initiated,2,N,not arrested,N,N,N,48,MALE,WHITE,5.7,170,THN,unknown,BLK,BROOKLYN,Y,1,1
174,Based on Radio Run,1,Y,GRAND LARCENY,N,Y,N,15,MALE,BLACK,5.8,175,THN,BROWN,BLK,BROOKLYN,Y,23,1
175,Based on Radio Run,10,Y,ASSAULT,Y,Y,Y,23,MALE,BLACK,6.2,250,MED,BROWN,BLK,MANHATTAN,N,11,0
176,Based on Self Initiated,2,Y,CPW,Y,Y,Y,19,MALE,BLACK,6.2,160,THN,BROWN,BLK,BROOKLYN,Y,23,2
177,Based on Radio Run,35,N,not arrested,N,Y,N,21,FEMALE,BLACK,5.5,100,THN,BROWN,OTHER,BROOKLYN,N,18,4
178,Based on Radio Run,15,N,not arrested,Y,Y,N,47,MALE,WHITE,6.0,180,MED,BLACK,BLK,BROOKLYN,N,12,8
179,Based on Radio Run,4,N,not arrested,N,N,N,17,MALE,BLACK,5.5,150,MED,BLACK,BLK,BROOKLYN,Y,16,0
180,Based on Radio Run,5,Y,ROBBERY,Y,Y,Y,17,MALE,BLACK,5.7,180,HEA,BROWN,BLK,QUEENS,N,17,0
181,Based on Radio Run,4,N,not arrested,Y,N,N,35,MALE,WHITE,5.11,200,HEA,BROWN,BLK,BRONX,Y,14,1
182,Based on C/W on Scene,9,N,not arrested,N,N,N,35,MALE,WHITE,5.9,230,MED,BROWN,BLK,QUEENS,Y,1,10
183,Based on Radio Run,10,N,not arrested,Y,N,Y,37,MALE,WHITE,5.5,140,THN,BROWN,BLK,BROOKLYN,N,3,0
184,Based on Radio Run,15,N,not arrested,N,N,N,28,MALE,BLACK,5.3,150,THN,BROWN,BLK,BROOKLYN,Y,13,1
185,Based on Radio Run,5,N,not arrested,Y,N,Y,23,MALE,WHITE,5.1,200,MED,BROWN,BLK,BROOKLYN,Y,18,1
186,Based on Radio Run,1,Y,ROBBERY,Y,Y,Y,17,MALE,BLACK,6.0,155,THN,BROWN,BLK,BROOKLYN,Y,15,0
