STOP_ID,STOP_FRISK_DATE,STOP_FRISK_TIME,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,RECORD_STATUS_CODE,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,LOCATION_IN_OUT_CODE,JURISDICTION_CODE,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,SUMMONS_OFFENSE_DESCRIPTION,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,DEMEANOR_CODE,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,SUSPECT_OTHER_DESCRIPTION,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_APARTMENT,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_STREET_NAME,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME
1966,2020-02-27,22:50:00,2020,February,Thursday,Based on Self Initiated,APP,POM,807,SGT,807,O,H,Housin,3,ROBBERY,5,Y,(null),N,N,(null),Y,DISORD,N,(null),S,V,Y,N,(,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),Y,(,(null),(null),(null),(null),(null),(null),SA,"ARGUMENTATIVE, AGGRESSIVE, COMBATIVE",21,MALE,BLACK HISPANIC,6,170,THN,BRO,BLK,,40,A,(null),520 E 144 ST,E 144 ST,1007418,234886,10454,PBBX,BRONX
6248,2020-08-04,08:41:00,2020,August,Tuesday,Based on Radio Run,APP,POF,863,SGT,863,S,T,Transi,1,CPW,8,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(,(null),(null),(null),(null),(null),Y,CM,IN A HURRY,44,MALE,BLACK,5.9,215,HEA,BRO,BLK,,13,B,(null),E 14 ST && UNION SQ E,E 14 ST,987034,206937,(null),PBMS,MANHATTAN
7302,2020-09-28,11:23:00,2020,September,Monday,Based on C/W on Scene,APP,DTS,104,SGT,104,O,(null),(null),1,PETIT LARCENY,11,Y,(null),N,Y,PETIT LARCENY,N,(null),Y,(null),(null),(null),Y,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),CM,CALM,31,MALE,WHITE,5.8,180,MED,BLU,BRO,BLACK HOODIE BLUE JEANS BLACK,104,B,(null),FOREST AVE && SUMMERFIELD ST,FOREST AVE,1012514,194041,11385,PBQN,QUEENS
1310,2020-02-05,09:45:00,2020,February,Wednesday,Based on Radio Run,APP,POM,121,SGT,121,(null),(null),(null),1,BURGLARY,5,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,Y,N,N,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),Y,(null),(null),Y,CM,QUIZZICAL,19,MALE,WHITE HISPANIC,5.7,150,THN,BRO,BRO,(null),121,B,(null),11 RILEY PL,RILEY PL,945306,168366,10302,PBSI,STATEN ISLAND
3959,2020-04-29,02:45:00,2020,April,Wednesday,Based on Self Initiated,APP,POM,72,LT,72,O,(null),(null),1,UNAUTHORIZED USE OF A VEHICLE,10,Y,(null),N,Y,OTHER,N,(null),Y,(null),(null),(null),N,Y,N,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(,(null),(null),(null),Y,(null),(null),SA,ANNOYED,24,MALE,BLACK HISPANIC,5.8,190,THN,BLK,BLK,PURPLE BACKPACK GRAY FACE MAS,72,B,(null),6002 3 AVE,3 AVE,978428,173195,11220,PBBS,BROOKLYN
2054,2020-02-22,00:23:00,2020,February,Saturday,Based on Radio Run,APP,POM,62,SGT,62,O,(null),(null),1,BURGLARY,10,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),CM,NERVOUS,19,MALE,BLACK HISPANIC,5.6,130,MED,BRO,BLK,(null),62,B,(null),1515 W 7 ST,W 7 ST,989533,161555,11204,PBBS,BROOKLYN
3364,2020-03-30,19:01:00,2020,March,Monday,Based on Self Initiated,APP,POM,42,SGT,42,O,(null),(null),1,CPW,1,Y,(null),N,Y,CPW,N,(null),N,(null),(null),V,Y,Y,N,N,N,Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(,(null),(null),(null),Y,(null),(null),CM,OUT OF BREATH,23,MALE,BLACK HISPANIC,5.8,150,MED,BRO,BLK,ARM -TATTOO WITH WORDS AND PI,42,C,(null),E 167 ST && 3 AVE,E 167 ST,1010106,241483,10456,PBBX,BRONX
676,2020-01-24,13:54:00,2020,January,Friday,Based on Self Initiated,APP,POM,78,LT,78,O,(null),(null),1,CPSP,14,Y,(null),N,Y,CPSP,N,(null),N,(null),S,V,N,Y,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(,(null),(null),(null),Y,(null),(null),SA,NERVOUS,57,MALE,BLACK,5.8,210,MED,BRO,BLK,(null),78,C,(null),93 ST JOHNS PL,ST JOHNS PL,990872,186062,11217,PBBS,BROOKLYN
1376,2020-02-12,01:49:00,2020,February,Wednesday,Based on Radio Run,APP,POM,106,SGT,106,(null),(null),(null),1,CPW,7,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,N,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),CM,"HOSTILE, AGGITATED", ,MALE,BLACK, , ,THN,BLK,BLK,(null),106,D,(null),134-09 ROCKAWAY BLVD,ROCKAWAY BLVD,1038665,185158,11420,PBQS,QUEENS
5692,2020-06-06,15:20:00,2020,June,Saturday,Based on Radio Run,APP,POM,67,SGT,67,I,(null),(null),1,BURGLARY,10,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),N,N,N,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),Y,Y,(null),(null),(null),(null),(null),(null),SA,CALM, ,MALE,BLACK,5.1,180,MED,BRO,BLK,(null),67,A,(null),146 ERASMUS ST,ERASMUS ST,997880,175939,11226,PBBS,BROOKLYN
1396,2020-02-12,21:41:00,2020,February,Wednesday,Based on Radio Run,APP,POF,32,SGT,32,O,P,PSB,0,GRAND LARCENY AUTO,5,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(,(null),(null),(null),(null),(null),(null),CM,NORMAL AND COMPILENT,32,MALE,BLACK,5.1,190,MED,BLK,BLK,(null),32,A,(null),W 131 ST && 5 AVE,W 131 ST,1000999,234464,10037,PBMN,MANHATTAN
6521,2020-06-28,10:00:00,2020,June,Sunday,Based on Self Initiated,APP,LT,19,LT,19,O,(null),(null),0,CRIMINAL MISCHIEF,2,Y,(null),N,Y,CRIMINAL MISCHIEF,N,(null),Y,(null),(null),(null),Y,Y,N,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,Y,(null),(null),(null),Y,(null),(null),SA,AGITATED,43,MALE,BLACK,5.8,146,THN,BRO,BLD,"TATTOOS ON ARM ""ALPHA"" ""OMEGA",19,A,(null),153 E 67 ST,E 67 ST,994271,218732,10065,PBMN,MANHATTAN
1493,2020-02-15,15:45:00,2020,February,Saturday,Based on Radio Run,APP,POM,112,LT,112,(null),(null),(null),2,MAKING GRAFFITI,25,Y,(null),N,Y,MAKING GRAFFITI,N,(null),Y,(null),(null),(null),N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),CM,COOPERATIVE,25,MALE,WHITE,5.9,200,MED,BRO,BRO,BLACK OVER COAT GREY UNDER SH,112,B,(null),QUEENS BLVD && ELIOT AVE,QUEENS BLVD,1020819,206204,11374,PBQN,QUEENS
9057,2020-12-05,15:04:00,2020,December,Saturday,Based on Radio Run,APP,POM,63,SGT,63,(null),(null),(null),1,ROBBERY,15,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),SB,NERVOUS,18,FEMALE,BLACK HISPANIC,5.4,165,MED,BRO,BLK,BLACK JACKET AND BLUE PANTS,63,B,(null),QUENTIN RD && FLATBUSH AVE,QUENTIN RD,1003203,164411,11234,PBBS,BROOKLYN
4998,2020-05-18,18:50:00,2020,May,Monday,Based on Radio Run,APP,DTS,105,SGT,105,O,(null),(null),1,CPW,3,Y,(null),Y,Y,CPW,N,(null),Y,(null),(null),(null),Y,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(,(null),(null),(null),Y,(null),(null),CM,NERVOUS,44,MALE,BLACK,5.1,165,THN,BRO,BLK,ORANGE HOODY,105,C,(null),LINDEN BLVD && 219 ST,LINDEN BLVD,1056070,192739,11411,PBQS,QUEENS
5081,2020-05-25,13:14:00,2020,May,Monday,Based on Radio Run,APP,POF,863,SGT,863,O,T,Transi,1,GRAND LARCENY,20,Y,(null),Y,Y,GRAND LARCENY,N,(null),Y,(null),(null),(null),N,Y,N,N,Y,(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),ID,APPARENTLY NORMAL,17,MALE,BLACK,5.8,130,THN,BRO,BLK,(null),14, ,(null),320 E 42 ST,E 42 ST,992172,212274,10017,PBMS,MANHATTAN
6072,2020-07-24,05:10:00,2020,July,Friday,Based on Radio Run,APP,POF,28,SGT,28,O,P,PSB,1,ASSAULT,27,Y,(null),Y,Y,ASSAULT,N,(null),Y,(null),(null),(null),N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(,(null),(null),(null),Y,(null),(null),CM,CALM,21,MALE,MIDDLE EASTERN/SOUTHWEST,5.4,120,THN,BRO,BLK,(null),28,D,(null),306 LENOX AVE,LENOX AVE,999468,233641,10027,PBMN,MANHATTAN
6949,2020-09-11,20:57:00,2020,September,Friday,Based on Radio Run,APP,POM,110,LT,110,O,P,PSB,1,ASSAULT,24,N,ARREST,N,Y,ROBBERY,N,(null),Y,(null),(null),(null),Y,N,N,N,Y,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),Y,(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),CO,CONFUSED.,25,MALE,WHITE HISPANIC,5.2,140,THN,BRO,BLK,TATTOO OF 3 SKULLS WITH BLUE,110,B,(null),ELBERTSON ST && ELMHURST AVE,ELBERTSON ST,1018288,211404,11373,PBQN,QUEENS
9141,2020-12-16,18:00:00,2020,December,Wednesday,Based on Radio Run,APP,POM,50,SGT,50,O,P,PSB,4,OTHER,10,Y,(null),N,Y,OTHER,N,(null),Y,(null),(null),(null),N,Y,N,N,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),CO,UPSET,22,MALE,WHITE HISPANIC,5.7,170,MED,BRO,BRO,(null),50,C,(null),6161 BROADWAY,BROADWAY,1012732,265500,10471,PBBX,BRONX
6939,2020-08-27,22:10:00,2020,August,Thursday,Based on Radio Run,APP,POM,77,SGT,77,O,P,PSB,5,CPW,2,Y,(null),N,Y,CPW,N,(null),Y,(null),(null),(null),N,Y,N,N,Y,Y,(null),(null),Y,(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),ID,UPSET,26,MALE,BLACK HISPANIC,5.11,150,THN,BRO,BLK,(null),77,B,(null),1469 BEDFORD AVE,BEDFORD AVE,996989,184451,11216,PBBN,BROOKLYN
8086,2020-10-31,04:40:00,2020,October,Saturday,Based on Radio Run,APP,POM,47,SGT,47,I,P,PSB,1,CPW,15,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,N,Y,Y,N,(null),Y,(null),N,(null),Y,(null),(null),(null),(null),Y,(null),Y,(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),CM,NERVOUS,21,MALE,BLACK,5.9,170,THN,BRO,BLK,(null),47,B,(null),4781 WHITE PLAINS RD,WHITE PLAINS RD,1025817,269277,10470,PBBX,BRONX
5553,2020-06-12,22:43:00,2020,June,Friday,Based on Radio Run,APP,POM,79,SGT,90,(null),(null),(null),1,ASSAULT,5,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),(,(null),(null),(null),(null),(null),(null),CM,ANGRY,52,MALE,BLACK,5.6,150,HEA,BRO,BLD,(null),79,C,(null),WILLOUGHBY AVE && WALWORTH ST,WILLOUGHBY AVE,997009,191833,11205,PBBN,BROOKLYN
8521,2020-11-20,17:32:00,2020,November,Friday,Based on Radio Run,APP,POM,72,SGT,72,(null),P,PSB,1,CPW,3,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),CM,NORMAL,20,MALE,WHITE HISPANIC,5.1,160,MED,BRO,BLK,(null),72,B,(null),39 ST && 3 AVE,39 ST,981984,177494,11232,PBBS,BROOKLYN
6822,2020-09-06,13:31:00,2020,September,Sunday,Based on C/W on Scene,APP,POM,66,LT,66,O,P,PSB,1,MURDER,68,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,Y,(null),(null),(null),(null),(null),(null),SA,CALM,44,MALE,WHITE HISPANIC,5.5,150,MED,BRO,BRO,(null),66,C,(null),10 AVE && 61 ST,10 AVE,982651,169623,11219,PBBS,BROOKLYN
2462,2020-03-13,12:16:00,2020,March,Friday,Based on C/W on Scene,APP,POM,90,SGT,90,I,P,PSB,0,GRAND LARCENY,72,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),Y,(null),(,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(,(null),(null),(null),(null),(null),(null),CM,UPSET,22,MALE,BLACK,6.2,200,THN,BRO,BLK,(null),90,D,(null),1087 FLUSHING AVE,FLUSHING AVE,1004058,196103,11237,PBBN,BROOKLYN
2902,2020-03-20,13:01:00,2020,March,Friday,Based on Radio Run,APP,LT,14,LT,14,O,(null),(null),2,ROBBERY,9,Y,(null),N,Y,ROBBERY,N,(null),Y,(null),(null),(null),Y,Y,(,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(,(null),Y,Y,(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),CM,CALM,39,MALE,WHITE,5.7, ,MED,BRO,BLK,TATTOOS LEFT HAND,14,D,(null),201 W 34 ST,W 34 ST,986805,212972,10001,PBMS,MANHATTAN
5788,2020-06-25,14:45:00,2020,June,Thursday,Based on Radio Run,APP,POM,62,SGT,62,O,(null),(null),2,ASSAULT,15,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),CM,CALM,34,MALE,BLACK,5.11,160,THN,BRO,BLK,(null),62,C,(null),9000 BAY PKWY,BAY PKWY,983853,156078,11214,PBBS,BROOKLYN
9501,2020-01-05,19:30:00,2020,January,Sunday,Based on Radio Run,APP,POM,101,SGT,101,I,P,PSB,1,ROBBERY,15,Y,(null),Y,Y,CPW,N,(null),Y,(null),(null),(null),Y,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),Y,Y,(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),CM,CALM,13,MALE,BLACK,5.5,180,HEA,BRO,BLK,(null),101,D,(null),54-30 BEACH CHANNEL DR,BEACH CHANNEL DR,1043660,156274,11692,PBQS,QUEENS
9067,2020-12-11,17:49:00,2020,December,Friday,Based on Self Initiated,APP,POM,6,SGT,6,I,(null),(null),1,BURGLARY,6,Y,(null),Y,Y,OTHER,N,(null),Y,(null),(null),(null),N,Y,N,N,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(,(null),(null),(null),Y,(null),(null),SA,COOPERTIVE,28,MALE,BLACK,6,200,MED,BRO,BLK,TATTOO ON FACE,6,A,(null),212 SULLIVAN ST,SULLIVAN ST,984210,204976,10012,PBMS,MANHATTAN
559,2020-01-16,07:15:00,2020,January,Thursday,Based on Radio Run,APP,DTS,30,SGT,30,O,P,PSB,1,BURGLARY,10,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),CM,"PROTESTED STOP,USED VULGARITIES",50,MALE,BLACK,5.9,170,MED,BRO,BLK,GRAY HOODIEBLACK JACKET,30,A,(null),1502 AMSTERDAM AVE,AMSTERDAM AVE,997308,237456,10031,PBMN,MANHATTAN
4763,2020-01-24,14:56:00,2020,January,Friday,Based on Radio Run,APP,POM,90,SGT,83,O,H,Housin,1,CPW,1,N,SUBJEC,N,Y,CPW,N,(null),N,(null),S,(null),N,Y,N,N,N,Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),SB,COMBATIVE,20,MALE,WHITE HISPANIC,5.8,150,THN,BRO,BLK,(null),90,C,(null),125 HUMBOLDT ST,HUMBOLDT ST,1000504,196444,11206,PBBN,BROOKLYN
1689,2020-02-19,18:40:00,2020,February,Wednesday,Based on C/W on Scene,APP,POM,77,SSA,77,O,(null),(null),0,CPW,5,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,Y,(null),(null),Y,(null),(null),(null),(null),(,(null),(null),(null),(null),(null),(null),CM,ANGRY,21,MALE,BLACK,5.8,130,THN,BRO,BLK,(null),77,B,(null),725 NOSTRAND AVE,NOSTRAND AVE,998084,184229,11216,PBBN,BROOKLYN
44,2020-01-03,04:09:00,2020,January,Friday,Based on C/W on Scene,APP,POM,68,SGT,68,(null),P,PSB,2,CRIMINAL POSSESSION OF FORGED INSTRUMENT,35,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(,(null),(null),(null),(null),(null),(null),SA,CALM,19,MALE,BLACK,6,160,MED,BRO,BLK,,68,D,(null),4 AVE && BAY RIDGE AVE,4 AVE,977722,170485,11220,PBBS,BROOKLYN
2187,2020-03-01,13:50:00,2020,March,Sunday,Based on Radio Run,APP,POM,9,SGT,9,O,(null),(null),0,ROBBERY,11,Y,(null),Y,Y,ROBBERY,N,(null),N,(null),S,V,N,N,N,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),CM,CALM,17,MALE,WHITE HISPANIC,5.9,160,THN,BRO,BRO,(null),7,C,(null),COLUMBIA ST && DELANCEY ST,COLUMBIA ST,989588,200202,10002,PBMS,MANHATTAN
1273,2020-02-07,19:11:00,2020,February,Friday,Based on Self Initiated,APP,POF,78,SGT,78,O,P,PSB,5,PETIT LARCENY,13,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(,(null),(null),(null),(null),(null),(null),CM,IN AGREEMENT WITH OFFICER,42,MALE,WHITE HISPANIC,5.7,180,THN,BRO,XXX,BLACK JACKET BLACK HOODED SWE,78,B,(null),6 AVE && PRESIDENT ST,6 AVE,990244,185127,11215,PBBS,BROOKLYN
4461,2020-05-12,17:45:00,2020,May,Tuesday,Based on Radio Run,APP,POM,102,SGT,102,(null),(null),(null),1,PETIT LARCENY,8,Y,(null),N,N,(null),N,(null),N,(null),S,(null),N,N,(,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),CM,HAPPY,37,MALE,WHITE,5.1,160,MED,BRO,BRO,RED BANDANNA BRUISE EYE  BLK,102,C,(null),LEFFERTS BLVD && ABINGDON RD,LEFFERTS BLVD,1030923,196912,11415,PBQS,QUEENS
8882,2020-12-05,04:22:00,2020,December,Saturday,Based on Radio Run,APP,POM,52,SGT,52,O,P,PSB,1,CPW,10,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),CM,CALM AND COOPERATIVE,30,MALE,WHITE HISPANIC,5.6,140,THN,BRO,BLK,(null),52,B,(null),222 E 198 ST,E 198 ST,1014619,256122,10458,PBBX,BRONX
2122,2020-03-04,18:15:00,2020,March,Wednesday,Based on Self Initiated,APP,POM,804,SGT,804,I,H,Housin,1,CRIMINAL TRESPASS,5,Y,(null),N,Y,CRIMINAL TRESPASS,N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(,(null),(null),(null),(null),(null),(null),SA,NERVOUS,41,MALE,WHITE,5.1,200,MED,BRO,GRY,(null),9,A,(null),819 FRANKLIN D ROOSEVELT DR,FRANKLIN D ROOSEVELT DR,991447,202836,10009,PBMS,MANHATTAN
7533,2020-10-10,17:02:00,2020,October,Saturday,Based on Radio Run,APP,POM,50,SGT,50,O,(null),(null),1,MENACING,10,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,N,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),CM,COOPERATIVE,21,MALE,BLACK HISPANIC,5.8,160,THN,BRO,BLK,,50,A,(null),SEDGWICK AVE && W 195 ST,SEDGWICK AVE,1011174,256470,10468,PBBX,BRONX
2259,2020-03-08,14:17:00,2020,March,Sunday,Based on Self Initiated,APP,POM,805,SGT,805,I,H,Housin,1,CRIMINAL TRESPASS,10,Y,(null),Y,Y,CRIMINAL TRESPASS,N,(null),Y,(null),(null),(null),N,Y,N,N,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(,(null),(null),(null),Y,(null),(null),SA,CALM,27,MALE,WHITE HISPANIC,6,140,MED,BLU,BRO,BLACK SKULL CAP BLACK HOODY B,23,D,(null),1591 PARK AVE,PARK AVE,999842,229906,10029,PBMN,MANHATTAN
66,2020-01-02,19:35:00,2020,January,Thursday,Based on Radio Run,APP,POM,105,SGT,105,I,P,PSB,1,BURGLARY,45,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,N,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),CM,CALM,35,MALE,BLACK,5.7,190,THN,BRO,BLK,,105,B,(null),139-38 232 ST,232 ST,1055623,182589,11413,PBQS,QUEENS
