STOP_ID,STOP_FRISK_DATE,STOP_FRISK_TIME,YEAR2,MONTH2,DAY2,STOP_WAS_INITIATED,RECORD_STATUS_CODE,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,LOCATION_IN_OUT_CODE,JURISDICTION_CODE,JURISDICTION_DESCRIPTION,OBSERVED_DURATION_MINUTES,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,OFFICER_EXPLAINED_STOP_FLAG,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,OTHER_PERSON_STOPPED_FLAG,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,SUMMONS_ISSUED_FLAG,SUMMONS_OFFENSE_DESCRIPTION,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,BACKROUND_CIRCUMSTANCES_VIOLENT_CRIME_FLAG,BACKROUND_CIRCUMSTANCES_SUSPECT_KNOWN_TO_CARRY_WEAPON_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SEARCH_BASIS_ADMISSION_FLAG,SEARCH_BASIS_CONSENT_FLAG,SEARCH_BASIS_HARD_OBJECT_FLAG,SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG,SEARCH_BASIS_OTHER_FLAG,SEARCH_BASIS_OUTLINE_FLAG,DEMEANOR_CODE,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,SUSPECT_OTHER_DESCRIPTION,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_APARTMENT,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_STREET_NAME,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME
6078,2020-07-24,03:00:00,2020,July,Friday,Based on Radio Run,APP,POM,46,SGT,46,I,P,PSB,1,BURGLARY,2,Y,(null),N,N,(null),Y,MARIJU,Y,(null),(null),(null),Y,Y,N,N,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),Y,Y,(null),(null),Y,(null),(null),(null),SA,AGITATED,18,MALE,BLACK,5.9,170,MED,BRO,BLK,DARK COLORED GYM SHORTS.,46,D,3RD,1750 GRAND AVE,GRAND AVE,1008309,248840,10453,PBBX,BRONX
7211,2020-09-23,20:50:00,2020,September,Wednesday,Based on Radio Run,APP,POM,44,SGT,44,(null),P,PSB,1,CPW,18,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),Y,N,N,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),Y,Y,(null),(null),(null),(null),(null),(null),SA,CALM,18,MALE,BLACK,5.8,160,THN,BRO,BLK,UNKNOWN,44,D,(null),W 172 ST && INWOOD AVE,W 172 ST,1007025,246139,10452,PBBX,BRONX
6508,2020-08-19,00:31:00,2020,August,Wednesday,Based on Radio Run,APP,POM,20,LT,24,O,P,PSB,1,ASSAULT,20,Y,(null),Y,Y,ASSAULT,N,(null),Y,(null),(null),(null),Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),(null),(null),(null),Y,Y,(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),CM,NORMAL,18,MALE,WHITE,5.9,170,MED,BRO,BRO,YELLOW TSHIRT BLACK SHORTS LO,20,A,(null),30 W 69 ST,W 69 ST,990156,221524,10023,PBMN,MANHATTAN
8941,2020-12-07,16:15:00,2020,December,Monday,Based on Radio Run,APP,POM,112,SGT,112,O,P,PSB,0,PETIT LARCENY,35,Y,(null),N,Y,OTHER,N,(null),Y,(null),(null),(null),N,Y,N,N,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),Y,Y,(null),(null),(null),Y,(null),(null),SA,CALM,52,MALE,BLACK,5.7,150,MED,BRO,BLK,(null),112,A,(null),73-25 WOODHAVEN BLVD,WOODHAVEN BLVD,1023254,198031,11385,PBQN,QUEENS
7230,2020-09-15,18:13:00,2020,September,Tuesday,Based on Radio Run,APP,POF,46,SGT,46,O,P,PSB,0,BURGLARY,5,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),CM,CALM AND COOPERATIVE,30,MALE,WHITE HISPANIC,5.7,160,MED,BRO,BLK,BEARD,46,B,(null),2496 MARION AVE,MARION AVE,1013744,252931,10458,PBBX,BRONX
8740,2020-11-30,20:14:00,2020,November,Monday,Based on Radio Run,APP,POM,6,SGT,6,I,P,PSB,1,BURGLARY,6,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),CM,COOPERATIVE,21,MALE,BLACK,5.1,150,THN,BRO,BLK,,6,C,(null),68 GREENWICH AVE,GREENWICH AVE,984045,207500,10011,PBMS,MANHATTAN
8755,2020-11-24,13:50:00,2020,November,Tuesday,Based on Radio Run,APP,POM,75,LT,75,(null),P,PSB,5,UNAUTHORIZED USE OF A VEHICLE,30,Y,(null),Y,N,(null),N,(null),Y,(null),(null),(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),(null),(null),CM,UPSET,23,FEMALE,BLACK,5.4,110,THN,BRO,BLK,(null),75,C,(null),PINE ST && LINDEN BLVD,PINE ST,1020523,182858,11208,PBBN,BROOKLYN
689,2020-01-23,03:40:00,2020,January,Thursday,Based on Radio Run,APP,POM,804,SGT,804,I,H,Housin,6,CRIMINAL TRESPASS,15,Y,(null),N,N,(null),N,(null),Y,(null),(null),(null),N,Y,N,(,N,(null),(null),(null),N,(null),(null),(null),(null),Y,(null),(,(null),(null),(null),(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),PF,EREATIC,22,MALE,BLACK,6.2,200,MED,BRO,BLK,(null),7,C,(null),100 PITT ST,PITT ST,989310,201214,10002,PBMS,MANHATTAN
8298,2020-10-31,20:38:00,2020,October,Saturday,Based on Radio Run,APP,SGT,43,LT,43,O,H,Housin,1,CPW,10,Y,(null),N,Y,OTHER,N,(null),Y,(null),(null),(null),Y,N,Y,Y,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,(null),(null),(null),Y,(null),(null),(null),Y,Y,(null),(null),(null),(null),(null),(null),SA,AGGRESSIVE,16,MALE,BLACK,5.9,140,THN,BRO,BLK,(null),43,A,(null),1686 SEWARD AVE,SEWARD AVE,1020590,237335,10473,PBBX,BRONX
9225,2020-01-14,17:40:00,2020,January,Tuesday,Based on Radio Run,APP,POM,162,SGT,162,(null),P,PSB,1,ROBBERY,1,Y,(null),Y,Y,ROBBERY,N,(null),Y,(null),(null),(null),Y,Y,N,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),Y,Y,(null),(null),Y,(null),(null),(null),(null),Y,(null),(null),(null),Y,(null),(null),CM,NERVOUS,14,MALE,BLACK,5.8,160,THN,BRO,BLK,(null),32,A,(null),ADAM CLAYTON POWELL JR BLVD && W 128 ST,ADAM CLAYTON POWELL JR BL,998943,234713,10027,PBMN,MANHATTAN
