Column	Hypothesis	p-value
ASK_FOR_CONSENT_FLG	Fail to Reject Null Hypothesis	0.08549227018943495
OTHER_PERSON_STOPPED_FLAG	Fail to Reject Null Hypothesis	0.09633604765810538
SUMMONS_ISSUED_FLAG	Fail to Reject Null Hypothesis	0.10184641641586706
IMMEDIATE_STOP_FLAG	Fail to Reject Null Hypothesis	0.10560607635443678
SUSPECTS_ACTIONS_OTHER_FLAG	Fail to Reject Null Hypothesis	0.11193833262369433
PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG	Fail to Reject Null Hypothesis	0.15741054473123378
SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG	Fail to Reject Null Hypothesis	0.17926870187650817
SHIELD_IDENTIFIES_OFFICER_FLAG	Fail to Reject Null Hypothesis	0.17926897976106665
SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG	Fail to Reject Null Hypothesis	0.18335844419630556
SEARCH_BASIS_INCIDENTAL_TO_ARREST_FLAG	Fail to Reject Null Hypothesis	0.21106456754525463
PHYSICAL_FORCE_OTHER_FLAG	Fail to Reject Null Hypothesis	0.24087843860862515
SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG	Fail to Reject Null Hypothesis	0.34018890087429904
SEARCH_BASIS_OTHER_FLAG	Fail to Reject Null Hypothesis	0.3877042452700926
SUSPECT_OTHER_DESCRIPTION	Fail to Reject Null Hypothesis	0.38788810195363616
SEARCH_BASIS_OUTLINE_FLAG	Fail to Reject Null Hypothesis	0.393936817712215
PHYSICAL_FORCE_OC_SPRAY_USED_FLAG	Fail to Reject Null Hypothesis	0.3952062196663525
PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG	Fail to Reject Null Hypothesis	0.40241045165913764
DAY2	Fail to Reject Null Hypothesis	0.40252739697130807
ID_CARD_IDENTIFIES_OFFICER_FLAG	Fail to Reject Null Hypothesis	0.41411665490111815
OFFICER_EXPLAINED_STOP_FLAG	Fail to Reject Null Hypothesis	0.5777522378418012
ISSUING_OFFICER_RANK	Fail to Reject Null Hypothesis	0.6284045293967881
PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG	Fail to Reject Null Hypothesis	0.6953628710163084
KNIFE_CUTTER_FLAG	Fail to Reject Null Hypothesis	0.7264075088934343
PHYSICAL_FORCE_WEAPON_IMPACT_FLAG	Fail to Reject Null Hypothesis	0.7660254633840331
SUSPECTS_ACTIONS_DECRIPTION_FLAG	Fail to Reject Null Hypothesis	0.9511800932544294
PHYSICAL_FORCE_CEW_FLAG	Fail to Reject Null Hypothesis	0.9591728137574715
DEMEANOR_OF_PERSON_STOPPED	Fail to Reject Null Hypothesis	0.9828121725890611
SEARCH_BASIS_ADMISSION_FLAG	Fail to Reject Null Hypothesis	0.9970969590497326
RECORD_STATUS_CODE	Fail to Reject Null Hypothesis	1.0
PHYSICAL_FORCE_RESTRAINT_USED_FLAG	Fail to Reject Null Hypothesis	1.0
