Pair	Hypothesis	P-value
STOP_LOCATION_ZIP_CODE-10459	Fail to Reject Null Hypothesis	0.7157277818805113
STOP_LOCATION_ZIP_CODE-10460	Fail to Reject Null Hypothesis	0.07042385790527649
STOP_LOCATION_ZIP_CODE-10461	Fail to Reject Null Hypothesis	0.4712957555825795
STOP_LOCATION_ZIP_CODE-10462	Fail to Reject Null Hypothesis	0.24656836533802481
STOP_LOCATION_ZIP_CODE-10463	Fail to Reject Null Hypothesis	0.05922879054342425
STOP_LOCATION_ZIP_CODE-10465	Fail to Reject Null Hypothesis	0.5989272634839895
STOP_LOCATION_ZIP_CODE-10466	Fail to Reject Null Hypothesis	0.0004792261615825622
STOP_LOCATION_ZIP_CODE-10467	Fail to Reject Null Hypothesis	0.1026370045086276
STOP_LOCATION_ZIP_CODE-10468	Fail to Reject Null Hypothesis	0.025686096818011765
STOP_LOCATION_ZIP_CODE-10469	Fail to Reject Null Hypothesis	0.355696429475757
STOP_LOCATION_ZIP_CODE-10470	Fail to Reject Null Hypothesis	0.15454665345523924
STOP_LOCATION_ZIP_CODE-10471	Fail to Reject Null Hypothesis	0.15607298250187077
STOP_LOCATION_ZIP_CODE-10472	Fail to Reject Null Hypothesis	0.39923459266053374
STOP_LOCATION_ZIP_CODE-10473	Fail to Reject Null Hypothesis	0.013901414095643702
STOP_LOCATION_ZIP_CODE-10474	Fail to Reject Null Hypothesis	0.44342936318048887
STOP_LOCATION_ZIP_CODE-10475	Fail to Reject Null Hypothesis	0.12009307448814423
STOP_LOCATION_ZIP_CODE-11101	Fail to Reject Null Hypothesis	0.0991619334852922
STOP_LOCATION_ZIP_CODE-11102	Fail to Reject Null Hypothesis	0.006064503514152282
STOP_LOCATION_ZIP_CODE-11103	Reject Null Hypothesis	4.493282196096248e-05
STOP_LOCATION_ZIP_CODE-11104	Fail to Reject Null Hypothesis	0.011367289355458755
STOP_LOCATION_ZIP_CODE-11105	Fail to Reject Null Hypothesis	0.0007288617392825754
STOP_LOCATION_ZIP_CODE-11106	Fail to Reject Null Hypothesis	0.02380176656822489
STOP_LOCATION_ZIP_CODE-11201	Fail to Reject Null Hypothesis	0.03270476148108486
STOP_LOCATION_ZIP_CODE-11203	Reject Null Hypothesis	3.74123575259758e-05
STOP_LOCATION_ZIP_CODE-11204	Reject Null Hypothesis	7.42964222196601e-07
STOP_LOCATION_ZIP_CODE-11205	Fail to Reject Null Hypothesis	0.2442151241190758
STOP_LOCATION_ZIP_CODE-11206	Fail to Reject Null Hypothesis	0.07510984564271188
STOP_LOCATION_ZIP_CODE-11207	Reject Null Hypothesis	1.1542101412198185e-06
STOP_LOCATION_ZIP_CODE-11208	Fail to Reject Null Hypothesis	0.7042778744208541
STOP_LOCATION_ZIP_CODE-11209	Reject Null Hypothesis	5.815818684224087e-05
STOP_LOCATION_ZIP_CODE-11210	Fail to Reject Null Hypothesis	0.13133554220134114
STOP_LOCATION_ZIP_CODE-11211	Fail to Reject Null Hypothesis	0.42826414643017097
STOP_LOCATION_ZIP_CODE-11212	Reject Null Hypothesis	1.4681014353258846e-11
STOP_LOCATION_ZIP_CODE-11213	Reject Null Hypothesis	1.4813311002727643e-08
STOP_LOCATION_ZIP_CODE-11214	Reject Null Hypothesis	2.8513761101553116e-13
STOP_LOCATION_ZIP_CODE-11215	Reject Null Hypothesis	0.00013648108177612088
STOP_LOCATION_ZIP_CODE-11216	Reject Null Hypothesis	0.00013908524574363418
STOP_LOCATION_ZIP_CODE-11217	Fail to Reject Null Hypothesis	0.6851458129516863
STOP_LOCATION_ZIP_CODE-11218	Fail to Reject Null Hypothesis	0.04599020814004103
STOP_LOCATION_ZIP_CODE-11219	Reject Null Hypothesis	2.892442025004087e-10
STOP_LOCATION_ZIP_CODE-11220	Reject Null Hypothesis	3.116468083134997e-18
STOP_LOCATION_ZIP_CODE-11221	Fail to Reject Null Hypothesis	0.012258786386197528
STOP_LOCATION_ZIP_CODE-11222	Reject Null Hypothesis	1.869590617085476e-05
STOP_LOCATION_ZIP_CODE-11223	Reject Null Hypothesis	3.270484069577371e-10
STOP_LOCATION_ZIP_CODE-11224	Fail to Reject Null Hypothesis	0.31174509206417544
STOP_LOCATION_ZIP_CODE-11225	Fail to Reject Null Hypothesis	0.0024117633578990263
STOP_LOCATION_ZIP_CODE-11226	Fail to Reject Null Hypothesis	0.0012056870232898587
